epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0227,2.28115,6.59737,2.06585,0.04982,0.63636,0.09341,0.01784,3.13685,3.74717,3.04074,0.00019875,0.00019875,0.0803237
2,96,2.42544,3.65591,2.2469,0.26682,0.31818,0.18905,0.04004,3.07171,19.1539,2.82777,0.000397105,0.000397105,0.0605221
3,142.68,2.44215,3.19666,2.11952,0.1752,0.20455,0.1425,0.04433,2.73173,2.87021,2.88249,0.00059381,0.00059381,0.0407188
4,188.805,2.3121,2.8296,1.94781,0.24902,0.25,0.19856,0.04557,2.51661,8.07784,2.4968,0.000788865,0.000788865,0.0209139
5,235.054,2.43947,2.99456,2.09524,0.28876,0.47727,0.33574,0.13877,2.55092,8.70369,2.43815,0.000982271,0.000982271,0.00110727
6,280.799,2.38112,2.64644,2.05087,0.2503,0.40976,0.22843,0.07611,2.36516,10.0234,2.32248,0.000979375,0.000979375,0.000979375
7,326.741,2.2845,2.6296,1.9317,0.07172,0.25,0.03863,0.00792,3.08044,12.9936,2.67656,0.00097525,0.00097525,0.00097525
8,373.087,2.27605,2.68065,1.98483,0.36271,0.45455,0.2551,0.09754,2.55508,5.87473,2.39841,0.000971125,0.000971125,0.000971125
9,419.103,2.41818,2.68207,2.06074,0.24493,0.36364,0.20596,0.05336,2.46286,8.69002,2.48957,0.000967,0.000967,0.000967
10,464.807,2.19092,2.48495,1.84335,0.17226,0.47727,0.15917,0.05427,2.56246,4.13551,2.37768,0.000962875,0.000962875,0.000962875
11,510.763,2.28704,2.52759,1.96974,0.12778,0.59091,0.35151,0.13042,2.38795,27.4287,2.47982,0.00095875,0.00095875,0.00095875
12,556.641,2.28704,2.45482,1.96478,0.22718,0.53453,0.27845,0.07491,2.79595,8.60553,2.64535,0.000954625,0.000954625,0.000954625
13,602.383,2.05461,2.44833,1.87694,0.20013,0.47727,0.15751,0.04339,2.22397,8.09973,2.29069,0.0009505,0.0009505,0.0009505
14,648.193,2.05226,2.25293,1.89739,0.2101,0.52273,0.19895,0.06658,1.93575,5.68066,2.18847,0.000946375,0.000946375,0.000946375
15,693.993,2.16223,2.31132,1.95424,0.19659,0.36364,0.18,0.05021,2.40317,11.5436,2.36987,0.00094225,0.00094225,0.00094225
16,740.322,2.09985,2.37005,1.82151,0.2172,0.56818,0.24173,0.0595,2.38614,5.07799,2.26254,0.000938125,0.000938125,0.000938125
17,786.485,2.03488,2.25842,1.81527,0.30729,0.29545,0.26672,0.10121,2.20704,5.8701,2.18773,0.000934,0.000934,0.000934
18,832.604,2.01221,2.23519,1.84061,0.375,0.51825,0.31649,0.12842,2.23678,4.43368,2.19998,0.000929875,0.000929875,0.000929875
19,878.762,1.97012,2.20368,1.73301,0.28917,0.52273,0.29865,0.10402,2.51881,5.25931,2.08732,0.00092575,0.00092575,0.00092575
20,924.56,2.09372,2.2176,1.74341,0.26132,0.54545,0.27838,0.0877,2.44166,13.8153,2.22648,0.000921625,0.000921625,0.000921625
21,970.613,2.08284,2.27612,1.77887,0.41181,0.52273,0.30472,0.10071,2.67092,6.11722,2.29903,0.0009175,0.0009175,0.0009175
