epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.0403,3.46215,176.052,4.06219,0.00092,0.25,0.00913,0.00096,3.28939,80.5273,3.29505,0.0006625,0.0006625,0.0006625
2,135.512,3.36112,37.5913,3.66334,0.0005,0.13636,0.0003,4e-05,4.38388,70.0766,4.54581,0.0013182,0.0013182,0.0013182
3,204.924,3.24843,30.7892,3.5934,0.0015,0.40909,0.00148,0.00025,3.59355,52.7719,3.80999,0.0019629,0.0019629,0.0019629
4,272.131,3.33912,25.5539,3.4847,0.00058,0.15909,0.0004,5e-05,4.53664,86.9871,4.28226,0.0019505,0.0019505,0.0019505
5,339.062,3.30317,23.4455,3.37716,8e-05,0.02273,4e-05,0,4.68423,43.2431,3.87461,0.001934,0.001934,0.001934
6,406.025,3.32783,18.594,3.42514,0.00117,0.31818,0.00477,0.00069,4.35168,36.1162,3.68749,0.0019175,0.0019175,0.0019175
7,472.982,3.24146,18.9701,3.3188,0.01814,0.09091,0.00256,0.00028,4.894,128.383,193.823,0.001901,0.001901,0.001901
8,539.884,3.32806,16.8351,3.25156,0.00125,0.34091,0.0015,0.00022,4.22611,24.5134,3.55005,0.0018845,0.0018845,0.0018845
9,606.52,3.32295,13.7028,3.23645,0.00117,0.31818,0.00156,0.00022,4.13932,22.3391,3.50006,0.001868,0.001868,0.001868
10,673.566,3.04094,14.3386,3.08523,0.00158,0.43182,0.01639,0.00256,3.95184,19.7178,3.34131,0.0018515,0.0018515,0.0018515
11,741.323,3.10601,11.2514,3.1835,0.00175,0.47727,0.02804,0.00454,3.89803,17.1899,3.22678,0.001835,0.001835,0.001835
12,808.933,3.19182,11.0057,3.15386,0.00167,0.45455,0.00826,0.00107,3.69833,16.7252,3.24064,0.0018185,0.0018185,0.0018185
13,876.22,2.98762,10.3925,2.93127,0.00167,0.45455,0.03094,0.00442,3.62137,14.1255,3.18328,0.001802,0.001802,0.001802
14,943.411,3.10631,8.86915,3.05344,0.00142,0.38636,0.069,0.00984,3.91041,13.5864,3.39713,0.0017855,0.0017855,0.0017855
15,1010.3,3.11298,8.32996,3.05157,0.00183,0.5,0.11137,0.01935,3.70866,10.3327,3.26761,0.001769,0.001769,0.001769
16,1077.28,3.01806,7.49463,3.07021,0.00125,0.34091,0.02884,0.00503,3.96389,10.524,3.5694,0.0017525,0.0017525,0.0017525
17,1144.18,2.89014,7.34819,3.02426,0.00147,0.36364,0.01559,0.00206,4.0313,9.3759,3.37077,0.001736,0.001736,0.001736
18,1210.84,2.97509,6.78561,2.9804,0.00306,0.54545,0.05918,0.00999,3.85369,10.8465,3.54195,0.0017195,0.0017195,0.0017195
19,1277.87,2.83773,6.45155,2.95954,0.00324,0.61364,0.06442,0.0127,3.4787,7.15704,3.07541,0.001703,0.001703,0.001703
20,1345.2,2.99594,5.99787,2.99933,0.00286,0.65909,0.10442,0.0201,3.43711,6.96659,3.27367,0.0016865,0.0016865,0.0016865
21,1412.58,2.96281,5.58665,2.95272,0.01789,0.54545,0.21876,0.06432,3.24185,6.13792,3.12687,0.00167,0.00167,0.00167
22,1479.57,2.89464,5.48144,2.84182,0.0466,0.54545,0.18109,0.04438,3.47576,5.84622,3.04517,0.0016535,0.0016535,0.0016535
23,1546.59,3.05055,5.13599,2.96798,0.04476,0.34091,0.05495,0.01308,3.32345,5.61762,2.76925,0.001637,0.001637,0.001637
24,1613.56,2.81575,4.89319,2.80695,0.15412,0.31818,0.16205,0.04403,3.21408,5.56779,2.76909,0.0016205,0.0016205,0.0016205
25,1680.58,2.90299,4.92754,2.81275,0.03955,0.51289,0.03453,0.00917,3.27879,5.61245,2.83711,0.001604,0.001604,0.001604
26,1747.73,2.87123,4.65447,2.80183,0.01463,0.22727,0.01358,0.00372,3.48906,5.53853,3.79007,0.0015875,0.0015875,0.0015875
