epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7173,3.2179,13.3701,4.38969,0.0012,0.20455,0.00074,0.0001,4.16818,3.89809,4.14485,0.000975,0.000975,0.081475
2,51.2425,3.31685,6.31149,4.3198,0.00152,0.22727,0.00101,0.00013,4.14569,3.53163,4.12707,0.00197479,0.00197479,0.0624748
3,71.8546,3.13006,5.17477,4.23289,0.00192,0.09091,0.00146,0.00017,4.14212,3.60326,4.13598,0.00297371,0.00297371,0.0434737
4,92.435,3.3771,5.1741,4.24181,0.0061,0.31818,0.00498,0.00063,4.13857,2.53217,4.14226,0.00397112,0.00397112,0.0244711
5,112.996,3.3321,4.97524,4.18809,0.04958,0.06877,0.01369,0.00191,4.17811,5.28477,4.27422,0.00496636,0.00496636,0.00546636
6,133.355,3.25445,4.94141,4.19489,0.06143,0.20455,0.0383,0.00671,3.51494,11.6171,7.20148,0.00498644,0.00498644,0.00498644
7,154.034,3.28736,4.72352,4.18441,0.0176,0.54545,0.01406,0.00372,2.67608,381.323,11.4852,0.00498048,0.00498048,0.00498048
8,174.726,3.33952,4.66875,4.12422,0.00909,0.29545,0.00634,0.0013,2.97865,inf,8.47676,0.00497345,0.00497345,0.00497345
9,194.912,3.17201,4.68356,4.05173,0.06034,0.15909,0.03147,0.0072,2.98212,124.413,9.89371,0.00496534,0.00496534,0.00496534
10,215.432,3.35777,4.83313,4.10317,0.01554,0.20455,0.01042,0.00268,nan,nan,nan,0.00495616,0.00495616,0.00495616
11,236.137,3.38199,4.85169,4.01123,0.0327,0.27273,0.01632,0.00395,2.74185,495.063,9.64217,0.00494592,0.00494592,0.00494592
12,258.102,3.1255,4.52915,3.95159,0,0,0,0,nan,nan,nan,0.00493461,0.00493461,0.00493461
13,278.541,3.24274,4.35523,3.90182,0.00364,0.56818,0.00695,0.0013,2.9669,3.59394,5.91659,0.00492224,0.00492224,0.00492224
14,299.041,3.17525,4.40769,3.84764,0.36846,0.13636,0.09907,0.01522,3.35318,3.41489,4.84496,0.00490883,0.00490883,0.00490883
15,319.59,3.28842,4.28309,3.72846,0.02646,0.02273,0.00407,0.00056,3.93463,7.8009,5.62963,0.00489437,0.00489437,0.00489437
16,340.115,3.19747,3.88501,3.68812,0.02416,0.06818,0.00851,0.0014,3.79537,6.15113,4.2196,0.00487886,0.00487886,0.00487886
