epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.947,3.33706,8.55259,4.39638,0.00079,0.09744,0.00051,0.00017,3.91973,4.22235,3.9774,0.00098,0.00098,0.08138
2,82.6411,3.26114,5.21774,4.27481,0.00103,0.09744,0.00218,0.00048,3.89828,4.36462,3.97813,0.00197979,0.00197979,0.0623798
3,119.101,3.19254,4.70365,4.2359,0.03708,0.03761,0.00637,0.00166,3.82764,4.55805,4.09694,0.00297871,0.00297871,0.0433787
4,155.188,3.35333,4.76982,4.19356,0.00532,0.05641,0.00196,0.00054,3.86984,9.08882,5.23395,0.00397611,0.00397611,0.0243761
5,191.005,3.25085,4.52953,4.1514,0.00594,0.0735,0.00174,0.00045,3.82734,512.577,8.99827,0.00497135,0.00497135,0.00537135
6,227.284,3.31657,4.23642,4.12447,0.01725,0.06154,0.00346,0.00068,3.83142,inf,6.97844,0.00498644,0.00498644,0.00498644
7,263.343,3.22994,4.09862,4.00182,0.02163,0.07179,0.00406,0.00082,3.86861,41.7376,7.38269,0.00498048,0.00498048,0.00498048
8,299.139,3.34831,4.42276,3.93919,0.03592,0.06838,0.00977,0.0024,3.60195,15.2211,5.17858,0.00497345,0.00497345,0.00497345
9,335.329,3.26196,4.01235,3.86236,0.04222,0.10904,0.00977,0.00209,3.56281,8.44037,4.97871,0.00496534,0.00496534,0.00496534
10,371.276,3.15199,3.95266,3.72232,0.08265,0.09744,0.01452,0.00355,3.33545,8.62727,3.78854,0.00495616,0.00495616,0.00495616
11,407.702,3.1699,3.71461,3.60479,0.04037,0.11966,0.015,0.00354,3.41782,15.1782,4.67641,0.00494592,0.00494592,0.00494592
12,443.615,3.11393,3.78819,3.60872,0.12918,0.08205,0.03242,0.00803,3.21822,4.2338,3.90915,0.00493461,0.00493461,0.00493461
13,479.942,3.18625,3.6781,3.46116,0.09368,0.11111,0.0354,0.00825,3.22783,7.56734,3.46996,0.00492224,0.00492224,0.00492224
14,516.098,2.94022,3.41999,3.3727,0.14586,0.11795,0.05185,0.0129,3.14758,3.34573,3.13698,0.00490883,0.00490883,0.00490883
15,552.042,3.07024,3.37864,3.32564,0.15443,0.17094,0.05836,0.01645,3.10896,4.73251,3.25296,0.00489437,0.00489437,0.00489437
16,588.216,2.91017,3.34329,3.23726,0.18849,0.17709,0.07893,0.02464,2.90292,2.97576,2.9028,0.00487886,0.00487886,0.00487886
17,624.313,2.95081,3.29552,3.26366,0.20094,0.20684,0.09755,0.03413,2.77186,3.24284,2.86834,0.00486233,0.00486233,0.00486233
18,660.111,2.81005,3.1931,3.10787,0.11334,0.13162,0.054,0.01485,2.9348,3.0966,2.9491,0.00484477,0.00484477,0.00484477
19,696.231,2.79786,3.28509,3.16925,0.14528,0.17607,0.07905,0.02748,2.76956,4.02845,2.9505,0.0048262,0.0048262,0.0048262
20,731.967,2.80586,3.19911,3.12763,0.17484,0.20513,0.08528,0.03097,2.70771,3.38884,2.8026,0.00480661,0.00480661,0.00480661
21,768.342,2.83754,3.03832,3.09831,0.11686,0.11624,0.03993,0.01487,2.83262,3.47207,2.93027,0.00478603,0.00478603,0.00478603
22,804.975,2.71966,2.95669,3.03178,0.27293,0.19658,0.12138,0.04373,2.62676,2.67144,2.78826,0.00476445,0.00476445,0.00476445
23,840.916,2.66304,2.87146,2.99629,0.19907,0.11939,0.07727,0.02546,2.71273,2.92093,2.79259,0.00474189,0.00474189,0.00474189
24,877.277,2.66108,2.7883,2.90244,0.27141,0.24786,0.13832,0.05183,2.64186,2.56484,2.65628,0.00471835,0.00471835,0.00471835
25,912.912,2.57462,2.97738,2.86716,0.24129,0.22393,0.13267,0.05646,2.62155,2.58852,2.6397,0.00469386,0.00469386,0.00469386
26,949.188,2.54697,2.93325,2.73181,0.20775,0.29744,0.13117,0.05162,2.59959,2.827,2.60472,0.00466841,0.00466841,0.00466841
27,985.57,2.5656,2.80461,2.83136,0.29232,0.22735,0.15994,0.05938,2.60014,2.55129,2.59341,0.00464203,0.00464203,0.00464203
28,1021.55,2.47214,2.66383,2.74388,0.23435,0.31453,0.15458,0.06379,2.52294,2.44444,2.54735,0.00461471,0.00461471,0.00461471
29,1057.85,2.48275,2.76028,2.74783,0.16726,0.14627,0.06911,0.02209,2.5259,6.29832,2.68286,0.00458648,0.00458648,0.00458648
30,1093.66,2.45925,2.65998,2.64459,0.25681,0.25128,0.12874,0.05427,2.565,2.90808,2.53006,0.00455734,0.00455734,0.00455734
