epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3155,3.22779,4.76812,4.19928,0.00257,0.29908,0.01993,0.00398,3.64525,5.1059,4.12346,0.00329114,0.00329114,0.0703797
2,81.4599,3.15767,3.97577,4.00803,0.04489,0.14625,0.01294,0.00232,3.65553,24.3364,6.32335,0.00662375,0.00662375,0.040379
3,113.8,3.0417,3.82986,3.88464,0.00723,0.02899,0.00178,0.00038,3.44259,39.4376,4.78331,0.00995348,0.00995348,0.0103754
4,146.696,2.86067,3.48342,3.62711,0.00303,0.01713,0.00077,0.0002,3.19432,6.49721,4.03797,0.00999023,0.00999023,0.00999023
5,179.08,2.73792,3.41623,3.31746,0.09286,0.10013,0.02529,0.00594,2.90579,5.15055,3.59814,0.00998264,0.00998264,0.00998264
6,211.672,2.64224,3.18147,3.17366,0.00537,0.0303,0.00165,0.00053,2.84899,8.2955,3.57063,0.00997288,0.00997288,0.00997288
7,243.745,2.42253,2.8106,2.95805,0.23652,0.25692,0.13858,0.0608,2.36323,4.66725,2.83272,0.00996097,0.00996097,0.00996097
8,275.98,2.21664,2.66751,2.75306,0.10068,0.27931,0.04452,0.01739,2.37365,6.57408,2.8123,0.0099469,0.0099469,0.0099469
9,309.05,2.11956,2.60211,2.62907,0.0386,0.06192,0.00887,0.0034,2.7075,3.93451,3.27653,0.00993068,0.00993068,0.00993068
10,341.53,2.07144,2.50488,2.52428,0.39755,0.19236,0.15902,0.06907,2.38369,3.24483,2.8347,0.00991232,0.00991232,0.00991232
11,373.583,2.02,2.46925,2.48938,0.5153,0.27404,0.28261,0.14512,2.15204,2.83205,2.56782,0.00989183,0.00989183,0.00989183
12,405.447,1.93489,2.36804,2.38303,0.12036,0.11067,0.04348,0.01647,2.76431,4.01822,3.31352,0.00986922,0.00986922,0.00986922
13,438.345,1.92693,2.38627,2.28801,0.49794,0.30316,0.29943,0.14933,2.16576,2.64745,2.49082,0.00984449,0.00984449,0.00984449
14,470.309,1.77452,2.20699,2.22149,0.61402,0.34651,0.32293,0.16355,2.07305,2.6175,2.39235,0.00981765,0.00981765,0.00981765
15,503.269,1.77412,2.19064,2.18295,0.59661,0.33712,0.3097,0.15176,2.07693,2.60472,2.34039,0.00978873,0.00978873,0.00978873
16,535.315,1.73147,2.20864,2.13479,0.37845,0.38735,0.26344,0.12755,2.02696,2.49182,2.28376,0.00975773,0.00975773,0.00975773
17,567.867,1.64553,2.01354,2.08816,0.50329,0.31357,0.32203,0.16924,2.00788,2.68677,2.28794,0.00972466,0.00972466,0.00972466
18,600.01,1.65377,2.11773,2.06021,0.45445,0.32543,0.23858,0.11216,2.08332,2.56548,2.34568,0.00968955,0.00968955,0.00968955
19,632.311,1.64658,2.1069,1.99477,0.08277,0.14361,0.029,0.01003,2.59427,4.10898,2.91701,0.00965239,0.00965239,0.00965239
20,665.28,1.57892,2.07628,1.98352,0.51926,0.3004,0.32426,0.16167,2.09872,2.48458,2.32081,0.00961322,0.00961322,0.00961322
21,697.647,1.58727,2.05274,1.94955,0.70885,0.34651,0.409,0.2322,1.90203,2.20452,2.11993,0.00957205,0.00957205,0.00957205
22,729.536,1.55727,1.94808,1.92677,0.37564,0.29963,0.23523,0.1082,2.09457,2.54877,2.28139,0.00952889,0.00952889,0.00952889
