epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.85684,1.46997,9.8489,1.50849,0.00061,0.11765,0.11527,0.09222,0.88866,10.406,0.98917,0.0001,0.0001,0.0001
2,8.89174,0.98103,9.84933,1.22323,0.00061,0.11765,0.11527,0.10651,0.89392,10.4904,0.93024,0.000218911,0.000218911,0.000218911
3,9.8925,1.50921,14.7721,1.17561,0.00061,0.11765,0.04627,0.0335,1.19401,10.961,1.23679,0.000336634,0.000336634,0.000336634
4,10.8268,1.29323,10.1176,1.21357,0.00061,0.11765,0.06618,0.03521,1.37755,11.6439,1.27076,0.000453169,0.000453169,0.000453169
5,11.7641,1.29135,8.27996,1.35176,0.00061,0.11765,0.00054,0.00028,1.74144,13.1415,1.48906,0.000568516,0.000568516,0.000568516
6,12.6951,1.36816,8.0119,1.37136,0.00061,0.11765,0.0121,0.0086,1.83603,12.4221,1.55124,0.000682675,0.000682675,0.000682675
7,13.8627,1.5966,11.1778,1.44649,0.00061,0.11765,0.00757,0.00362,1.944,13.386,1.51663,0.000795646,0.000795646,0.000795646
8,14.7939,1.46155,9.26539,1.38344,0.00091,0.17647,0.00591,0.00097,1.9514,11.457,1.70199,0.000907429,0.000907429,0.000907429
9,15.7251,2.22486,20.2697,1.72301,0.00061,0.11765,0.00288,0.00106,2.09354,12.6675,1.62638,0.00101802,0.00101802,0.00101802
10,16.7037,1.777,8.99746,1.51801,0.00061,0.11765,0.01796,0.00417,2.38244,12.8103,2.5579,0.00112743,0.00112743,0.00112743
11,17.6783,1.48356,6.42687,1.59686,0.00061,0.11765,0.00128,0.00065,2.26311,16.2503,2.3218,0.00123565,0.00123565,0.00123565
12,18.623,1.66722,7.01735,1.49837,0.00061,0.11765,0.00054,0.00033,2.23039,21.3443,2.1469,0.00134268,0.00134268,0.00134268
13,19.5455,1.89829,8.27828,1.63921,0.0003,0.05882,0.00018,2e-05,3.51174,41.2554,3.35582,0.00144852,0.00144852,0.00144852
14,20.4768,1.45492,6.60966,1.32453,0.00061,0.11765,0.00277,0.00089,3.05488,17.641,2.4159,0.00155318,0.00155318,0.00155318
15,21.4386,1.89973,8.58259,1.84774,0.00061,0.11765,0.00277,0.00089,3.05488,17.641,2.4159,0.00165665,0.00165665,0.00165665
16,22.3451,1.70241,6.15275,1.59243,0.00091,0.17647,0.00258,0.00082,2.76664,16.1451,2.21902,0.00175893,0.00175893,0.00175893
17,23.3276,1.64237,7.84395,1.64109,0.85374,0.05882,0.05708,0.01268,2.87479,21.1869,2.83684,0.0018416,0.0018416,0.0018416
18,24.2452,1.68072,6.32379,1.579,0.27316,0.11765,0.08549,0.01955,2.9278,46.6069,6.73578,0.0018317,0.0018317,0.0018317
19,25.1832,2.39137,13.2047,1.55041,0.27316,0.11765,0.08549,0.01955,2.9278,46.6069,6.73578,0.0018218,0.0018218,0.0018218
20,26.086,1.89564,6.08473,1.86581,0.01694,0.05882,0.00334,0.00134,2.89586,19.0294,3.43248,0.0018119,0.0018119,0.0018119
21,27.0207,1.97558,6.48898,1.91311,0.13813,0.11765,0.04956,0.01928,2.44774,12.0555,2.76593,0.001802,0.001802,0.001802
22,27.9431,1.19719,19.9613,1.24251,0.14545,0.11765,0.02871,0.0155,2.14076,10.2651,2.07586,0.0017921,0.0017921,0.0017921
23,28.84,1.88242,5.80905,1.82558,0.14545,0.11765,0.02871,0.0155,2.14076,10.2651,2.07586,0.0017822,0.0017822,0.0017822
24,29.749,1.51115,4.75459,1.639,0.02445,0.11765,0.00596,0.00252,2.85201,13.2009,2.53058,0.0017723,0.0017723,0.0017723
25,30.6742,1.36254,4.59218,1.55652,0.12454,0.11765,0.02554,0.00902,1.9999,10.3984,1.70184,0.0017624,0.0017624,0.0017624
26,31.6944,1.53981,7.17148,1.64144,0.85005,0.05882,0.05533,0.01656,4.27284,14.1919,4.00768,0.0017525,0.0017525,0.0017525
27,32.7422,1.69518,6.44375,1.62519,0.85005,0.05882,0.05533,0.01656,4.27284,14.1919,4.00768,0.0017426,0.0017426,0.0017426
28,33.6544,1.73794,5.61863,1.6431,0.14394,0.05882,0.01321,0.00152,4.23533,28.5645,4.08625,0.0017327,0.0017327,0.0017327
29,34.629,1.99641,5.63229,1.86992,0.09813,0.05882,0.00966,0.00204,3.57237,26.3076,2.67376,0.0017228,0.0017228,0.0017228
30,35.5564,1.80223,7.06156,1.60967,0.02094,0.17647,0.00515,0.00123,3.26052,54.947,3.27249,0.0017129,0.0017129,0.0017129
31,36.5125,1.74016,5.21878,1.63083,0.02094,0.17647,0.00515,0.00123,3.26052,54.947,3.27249,0.001703,0.001703,0.001703
32,37.5232,1.99761,7.73813,1.8726,0.09165,0.11765,0.0253,0.01165,3.11845,43.3041,3.99858,0.0016931,0.0016931,0.0016931
33,38.8897,1.96096,7.86491,1.64174,0.35431,0.17647,0.15257,0.03169,2.38472,24.3579,2.63452,0.0016832,0.0016832,0.0016832
34,40.6284,1.58214,4.14156,1.47002,0.14942,0.17647,0.04142,0.01355,2.02261,24.4806,2.13917,0.0016733,0.0016733,0.0016733
35,42.9244,1.57588,3.99037,1.55734,0.14942,0.17647,0.04142,0.01355,2.02261,24.4806,2.13917,0.0016634,0.0016634,0.0016634
36,44.58,1.66959,4.10609,1.49148,0.01033,0.11765,0.00326,0.00111,2.35412,123.445,2.07473,0.0016535,0.0016535,0.0016535
