epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.81858,0.93265,4.51431,1.09054,0.0007,0.11765,0.05781,0.05781,0.66959,5.11551,0.60349,0.00018,0.00018,0.00018
2,9.70634,1.01911,3.13334,1.0877,0.0007,0.11765,0.01491,0.00563,1.83257,7.74035,0.98633,0.000377492,0.000377492,0.000377492
3,12.9361,0.97183,3.10985,1.01878,0.0007,0.11765,0.00879,0.00758,1.76023,8.58197,1.05787,0.000572344,0.000572344,0.000572344
4,16.0808,1.12658,2.91256,1.0889,0.39261,0.07713,0.04867,0.03211,1.16074,6.54467,0.91343,0.000764556,0.000764556,0.000764556
5,19.5202,1.06934,2.72889,1.10493,0.53903,0.11765,0.10541,0.05727,1.44169,5.58569,1.35192,0.000954128,0.000954128,0.000954128
6,22.6628,1.16016,3.25291,1.11336,0.20113,0.11765,0.06931,0.03732,1.64203,7.49157,1.36044,0.00114106,0.00114106,0.00114106
7,25.9508,1.06856,2.64483,1.06153,0.3132,0.11765,0.04881,0.02887,1.36818,11.0428,1.10661,0.00132535,0.00132535,0.00132535
8,28.9055,1.12821,2.4781,1.06036,0.26927,0.11765,0.07199,0.04574,1.26778,11.3999,1.03515,0.001507,0.001507,0.001507
9,31.8128,1.25281,2.74593,1.17329,0.5,0.08824,0.06235,0.03683,1.97406,21.2961,1.44386,0.00168602,0.00168602,0.00168602
10,34.793,1.31326,2.76088,1.19753,0.08534,0.11765,0.01308,0.00543,2.63073,6.57979,1.63373,0.00186239,0.00186239,0.00186239
11,37.6917,1.20107,2.36919,1.11525,0.06911,0.05882,0.00895,0.00357,3.10079,9.77528,1.91712,0.001868,0.001868,0.001868
12,40.63,1.23558,2.29174,1.11425,0.20953,0.08824,0.03866,0.02066,2.16987,7.38828,1.24266,0.0018548,0.0018548,0.0018548
13,43.5921,1.1685,2.03764,1.09434,0.20599,0.08824,0.07251,0.06058,1.58288,9.31083,1.22278,0.0018416,0.0018416,0.0018416
14,46.5698,1.26701,2.00253,1.10829,0.36547,0.08824,0.07763,0.02775,2.1557,12.8642,1.59562,0.0018284,0.0018284,0.0018284
15,49.4081,1.11097,1.89314,1.0952,0.28547,0.11765,0.04362,0.02208,2.25077,10.4051,1.63668,0.0018152,0.0018152,0.0018152
16,52.3822,1.07864,1.75674,1.05842,0.57508,0.11765,0.09524,0.05888,1.28876,7.66216,0.93539,0.001802,0.001802,0.001802
17,55.5115,1.12871,1.7885,1.08284,0.30121,0.11765,0.07325,0.04004,1.71962,4.0986,1.25881,0.0017888,0.0017888,0.0017888
18,58.4117,1.14648,1.7068,1.11532,0.37487,0.08819,0.07271,0.02288,2.24354,5.00877,1.38677,0.0017756,0.0017756,0.0017756
19,61.2961,1.22953,1.62371,1.12664,0.41595,0.08824,0.06354,0.02722,2.457,5.9253,1.48237,0.0017624,0.0017624,0.0017624
20,64.2868,0.98433,1.45738,1.06341,0.42986,0.08824,0.05841,0.03191,1.93449,5.0092,1.08363,0.0017492,0.0017492,0.0017492
21,67.2619,1.12193,1.47769,1.07556,0.20017,0.23529,0.09067,0.04124,1.88923,3.80546,0.99585,0.001736,0.001736,0.001736
22,70.2821,1.17876,1.45342,1.10455,0.39537,0.17647,0.08609,0.03242,2.531,4.15322,1.23406,0.0017228,0.0017228,0.0017228
23,73.2643,1.07704,1.38774,1.10753,0.4468,0.17647,0.10974,0.07159,1.34772,3.30316,0.83958,0.0017096,0.0017096,0.0017096
24,76.1915,1.14295,1.4127,1.0812,0.42874,0.17647,0.11054,0.07471,1.27298,4.365,0.77178,0.0016964,0.0016964,0.0016964
25,79.1204,1.02643,1.23842,1.03915,0.3183,0.11765,0.08947,0.07948,1.51331,3.47758,0.9179,0.0016832,0.0016832,0.0016832
26,82.0325,1.05903,1.251,1.06527,0.72152,0.08824,0.09247,0.07878,1.78002,3.07135,1.03588,0.00167,0.00167,0.00167
27,84.9457,1.09579,1.17032,1.09514,0.1936,0.26471,0.13569,0.10121,1.21313,2.05956,0.75779,0.0016568,0.0016568,0.0016568
28,87.8912,0.9756,1.07631,1.02702,0.43805,0.22954,0.19766,0.14503,0.95756,1.37209,0.62888,0.0016436,0.0016436,0.0016436
29,90.8927,1.03988,1.17057,1.06234,0.3001,0.21463,0.153,0.08176,1.43683,1.98359,0.88363,0.0016304,0.0016304,0.0016304
